Código del bien o servicio;Descripción del bien o servicio;Impuesto
9310210180502;Prueba de movimientos involuntarios;4%
9310210180503;Ayudar y dirigir el ejercicio para funciones de movimiento involuntario;4%
9310210180504;Entrenamiento de funciones de movimiento involuntario;4%
9310210180601;Evaluación del patrón de marcha;4%
9310210180602;Prueba de patrón de marcha;4%
9310210180603;Análisis de la evaluación de la marcha del video;4%
9310210180604;Ayudar y dirigir el ejercicio para las funciones del patrón de marcha;4%
9310210180605;Entrenamiento de patrón de marcha;4%
9310210180606;Estimulación eléctrica para la función del patrón de marcha;4%
9310210180701;Valoración de sensaciones relacionadas con el músculo y el movimiento;4%
9310210180702;Ayudar y dirigir el ejercicio para sensaciones relacionadas con las funciones musculares y de movimiento;4%
9310210180703;Acupuntura para músculos afectados por sensaciones;4%
9310210180704;Moxibustión para los músculos afectados por sensaciones;4%
9310210180705;Ventosaterapia para músculos afectados por sensaciones;4%
9310210190101;Series esqueléticas;4%
9310210190102;Imágenes de resonancia magnética del sistema musculoesquelético, n.c.p.;4%
9310210190103;Colocación de dispositivo protésico de extremidades, n.c.p.;4%
9310210190104;Implantación de prótesis de extremidades, n.c.p.;4%
9310210190105;División de la cápsula articular, el ligamento o el cartílago, n.c.p., otros sitios y sitios no especificados;4%
9310210190106;Artrocentesis, n.c.p.;4%
9310210190107;Amputación, n.c.p.;4%
9310210190108;Tracción directa e indirecta, no expresada en otra parte;4%
9310210190109;Otras correcciones forzadas de deformidad;4%
9310210190110;Otras intervenciones en el sistema musculoesquelético, n.c.p.;4%
9310210990000;Intervenciones en el sistema musculoesquelético, n.c.p.;4%
9310211010101;Biopsia abierta de riñón;4%
9310211010102;Biopsia laparoscópica de riñón;4%
9310211010103;Biopsia endoscópica de riñón por estoma;4%
9310211010104;Biopsia percutánea de riñón;4%
9310211010105;Exploración del riñón;4%
9310211010106;Nefroscopía;4%
9310211010107;Nefroscopía percutánea;4%
9310211010108;Radiografía de riñón;4%
9310211010109;Radiografía del riñón con contraste;4%
9310211010110;Tomografía axial computarizada de riñón, n.c.p.;4%
9310211010111;Tomografía axial computarizada de riñón con contraste intravenoso;4%
9310211010112;Exploración renal y estudio de la función radioisotópica;4%
9310211010113;Imágenes de resonancia magnética de riñón, n.c.p.;4%
9310211010114;Imagen de resonancia magnética del riñón con contraste intravenoso;4%
9310211010115;Ultrasonido de riñón;4%
9310211010116;Inyección en el riñón;4%
9310211010117;Perfusión local del riñón;4%
9310211010118;Nefrotomía;4%
9310211010119;Sinfisiotomía del riñón;4%
9310211010120;Liberación de adherencias perirrenales;4%
9310211010121;Liberación laparoscópica de adherencias perirrenales;4%
9310211010122;Destrucción de lesión o tejido del riñón;4%
9310211010123;Destrucción laparoscópica de lesión o tejido renal;4%
9310211010124;Pieloscopía retrógrada con destrucción de lesión o tejido renal;4%
9310211010125;Destrucción percutánea de lesión o tejido del riñón;4%
9310211010126;Litotricia extracorpórea por ondas de choque del riñón;4%
9310211010127;Drenaje del riñón;4%
9310211010128;Drenaje laparoscópico del riñón;4%
9310211010129;Drenaje percutáneo del riñón;4%
9310211010130;Diálisis renal;4%
9310211010131;Extracción de cuerpo extraño del riñón;4%
9310211010132;Extracción del cálculo del riñón;4%
9310211010133;Pieloscopía retrógrada con extracción de cálculo renal;4%
9310211010134;Extracción percutánea de cálculo de riñón;4%
9310211010135;Obtención de riñón;4%
9310211010136;Obtención laparoscópica de riñón;4%
9310211010137;Escisión local de lesión o tejido renal;4%
9310211010138;Escisión local endoscópica de lesión renal o tejido;4%
9310211010139;Nefrectomía parcial;4%
9310211010140;Nefrectomía parcial laparoscópica;4%
9310211010141;Nefrectomía;4%
9310211010142;Nefrectomía total laparoscópica;4%
9310211010143;Nefrectomía radical;4%
9310211010144;Nefrectomía radical laparoscópica;4%
9310211010145;Sustitución de dispositivo en riñón;4%
9310211010146;Trasplante renal;4%
9310211010147;Ligadura de riñón;4%
9310211010148;Anastomosis del riñón;4%
9310211010149;Nefropexia;4%
9310211010150;Nefropexia laparoscópica;4%
9310211010151;Reducción de la torsión del pedículo renal;4%
9310211010152;Nefrostomía;4%
9310211010153;Nefrostomía percutánea;4%
9310211010154;Reparación de riñón;4%
9310211010201;Biopsia endoscópica de la pelvis renal;4%
9310211010202;Biopsia percutánea de la pelvis renal;4%
9310211010203;Exploración de la pelvis renal;4%
9310211010204;Pieloescopía;4%
9310211010205;Pielograma;4%
9310211010206;Pielotomía;4%
9310211010207;Pielotomía laparoscópica;4%
9310211010208;Drenaje de la pelvis renal;4%
9310211010209;Drenaje transuretral de la pelvis renal;4%
9310211010210;Drenaje percutáneo de la pelvis renal;4%
9310211010211;Extracción transuretral de cuerpo extraño de la pelvis renal;4%
9310211010212;Extracción del cálculo de la pelvis renal;4%
9310211010213;Extracción laparoscópica del cálculo de la pelvis renal;4%
9310211010214;Extracción transuretral del cálculo de la pelvis renal;4%
9310211010215;Sustitución del tubo de pielostomía;4%
9310211010216;Obliteración del divertículo calicial;4%
9310211010217;Obliteración laparoscópica de divertículo calicial;4%
9310211010218;Ureteropielostomía;4%
9310211010219;Pielostomía;4%
9310211010220;Reparación de la pelvis renal;4%
9310211010221;Reparación endoscópica de la pelvis renal;4%
9310211010222;Pieloplastia;4%
9310211010223;Pieloplastia laparoscópica;4%
9310211010224;Manejo de dispositivo interno de la pelvis renal y de la unión pielouretérica;4%
9310211010301;Biopsia abierta de uréter;4%
9310211010302;Biopsia endoscópica cerrada de uréter;4%
9310211010303;Biopsia percutánea de uréter;4%
9310211010304;Exploración de uréter y área periureteral;4%
9310211010305;Ureteroscopía;4%
9310211010306;Implantación de estimulador ureteral electrónico;4%
9310211010307;Ureterotomía;4%
9310211010308;Liberación de adherencias periureterales;4%
9310211010309;Liberación laparoscópica de adherencias periureterales;4%
9310211010310;Destrucción de lesión o tejido de uréter;4%
9310211010311;Destrucción endoscópica de lesión o tejido de uréter;4%
9310211010312;Litotricia extracorpórea por ondas de choque del uréter;4%
9310211010313;Extracción de cuerpo extraño del uréter;4%
9310211010314;Extracción transuretral de cuerpo extraño del uréter;4%
9310211010315;Extracción de cálculo de uréter;4%
9310211010316;Extracción transuretral de cálculo a partir de uréter;4%
9310211010317;Ureterectomía parcial;4%
9310211010318;Ureterectomía parcial laparoscópica;4%
9310211010319;Ureterectomía parcial transuretral;4%
9310211010320;Ureterectomía total;4%
9310211010321;Ureterectomía total laparoscópica;4%
9310211010322;Sustitución de dispositivo ureteral;4%
9310211010323;Reemplazo endoscópico de tubo de ureterostomía;4%
9310211010324;Reemplazo percutáneo del tubo de ureterostomía;4%
9310211010325;Anastomosis de uréter;4%
9310211010326;Anastomosis laparoscópica de uréter;4%
9310211010327;Transureterostomía;4%
9310211010328;Ureteropexia;4%
9310211010329;Reimplante de uréter;4%
9310211010330;Dilatación endoscópica de uréter;4%
9310211010331;Dilatación endoscópica de uréter con inserción de dispositivo;4%
9310211010332;Desviación urinaria;4%
9310211010333;Reparación de uréter;4%
9310211010334;Reparación laparoscópica de uréter;4%
9310211010335;Reconstrucción de uréter;4%
9310211010336;Reconstrucción laparoscópica de uréter;4%
9310211010337;Gestión de dispositivo interno de uréter;4%
9310211010401;Biopsia abierta de vejiga;4%
9310211010402;Biopsia cerrada de vejiga;4%
9310211010403;Exploración del tejido perivesical;4%
9310211010404;Cistoscopía por estoma artificial;4%
9310211010405;Cistoscopía;4%
9310211010406;Rayos X de vejiga;4%
9310211010407;Cistouretrograma retrógrado;4%
9310211010408;Resonancia magnética de la vejiga;4%
9310211010409;Ultrasonido de vejiga;4%
9310211010410;Implantación de dispositivo en vejiga urinaria;4%
9310211010411;Cistotomía;4%
9310211010412;Cistotomía laparoscópica;4%
9310211010413;Liberación de adherencias perivesicales;4%
9310211010414;Liberación laparoscópica de adherencias perivesicales;4%
9310211010415;Liberación transuretral de adherencias perivesicales;4%
9310211010416;Destrucción abierta de otra lesión o tejido de vejiga;4%
9310211010417;Destrucción transuretral de lesión o tejido de vejiga;4%
9310211010418;Laparoscopical asistida destrucción transuretral de lesión o tejido de vejiga;4%
9310211010419;Litotricia extracorpórea por ondas de choque de la vejiga;4%
9310211010420;Irrigación endoscópico de coágulos vesicales;4%
9310211010421;Irrigación de la vejiga urinaria;4%
9310211010422;Drenaje de vejiga;4%
9310211010423;Drenaje laparoscópico de vejiga;4%
9310211010424;Drenaje de vejiga sin incisión;4%
9310211010425;Aspiración percutánea de vejiga;4%
9310211010426;Extracción de cuerpo extraño de vejiga;4%
9310211010427;Extracción transuretral de cuerpo extraño de vejiga;4%
9310211010428;Extracción transuretral endoscópica de cuerpo extraño de vejiga;4%
9310211010429;Extracción de cálculos de vejiga;4%
9310211010430;Extracción cistoscópica transuretral del cálculo de la vejiga;4%
9310211010431;Escisión local de lesión o tejido de vejiga;4%
9310211010432;Escisión laparoscópica de lesión o tejido de vejiga;4%
9310211010433;Escisión parcial de lesión o tejido de vejiga;4%
9310211010434;Cistectomía parcial laparoscópica;4%
9310211010435;Resección transuretral de lesión vesical;4%
9310211010436;Cistectomía total;4%
9310211010437;Cistectomía total laparoscópica;4%
9310211010438;Cistectomía radical;4%
9310211010439;Cistectomía radical laparoscópica;4%
9310211010440;Sustitución de dispositivo vesical;4%
9310211010441;Reemplazo de catéter urinario permanente;4%
9310211010442;Hemostasia transuretral de la vejiga;4%
9310211010443;Hemostasia endoscópica de vejiga;4%
9310211010444;Anastomosis de vejiga;4%
9310211010445;Cistopexia;4%
9310211010446;Distensión terapéutica de la vejiga;4%
9310211010447;Ileovesicostomía;4%
9310211010448;Cistotomía percutánea;4%
9310211010449;Aumento de la vejiga;4%
9310211010450;Agrandamiento laparoscópico de la vejiga;4%
9310211010451;Plicatura del esfínter de la vejiga urinaria;4%
9310211010452;Reparación de vejiga;4%
9310211010453;Reparación laparoscópica de vejiga;4%
9310211010454;Reconstrucción de la vejiga urinaria;4%
9310211010455;Manejo de dispositivo interno para vejiga urinaria;4%
9310211010501;Inyección endoscópica en cuello vesical;4%
9310211010502;Incisión endoscópica transuretral de cuello vesical;4%
9310211010503;División del cuello vesical;4%
9310211010504;Destrucción endoscópica del cuello vesical;4%
9310211010505;Extracción de cuerpo extraño del cuello vesical;4%
9310211010506;Extracción de cuerpo extraño del cuello de la vejiga - por orificio;4%
9310211010507;Extracción endoscópica transuretral de cuerpos extraños del cuello vesical;4%
9310211010508;Resección endoscópica transuretral de cuello vesical;4%
9310211010509;Dilatación del cuello vesical;4%
9310211010510;Dilatación laparoscópica del cuello vesical;4%
9310211010511;Dilatación endoscópica transuretral del cuello vesical;4%
9310211010512;Dilatación endoscópica transuretral del cuello vesical con inserción de dispositivo;4%
9310211010513;Reparación de cuello vesical con injerto o prótesis;4%
9310211010514;Reparación endoscópica transuretral del cuello vesical con injerto o prótesis;4%
9310211010601;Evaluación del sistema urinario, n.c.p.;4%
9310211010602;Biopsia de uretra;4%
9310211010603;Biopsia endoscópica transuretral de uretra;4%
9310211010604;Uretroscopía;4%
9310211010605;Uretrografía;4%
9310211010606;Inyección endoscópica de implante en uretra;4%
9310211010607;Inserción endoscópica de dispositivo uretral;4%
9310211010608;Uretrotomía;4%
9310211010609;Liberación de la uretra;4%
9310211010610;Otra destrucción local de lesión o tejido de uretra;4%
9310211010611;Destrucción endoscópica de lesión o tejido de uretra;4%
9310211010612;Drenaje de uretra;4%
9310211010613;Extracción de cuerpo extraño de la uretra;4%
9310211010614;Extracción de cuerpo extraño de la uretra sin incisión;4%
9310211010615;Extracción endoscópica transuretral de cuerpos extraños de la uretra sin incisión;4%
9310211010616;Extracción del cálculo de la uretra;4%
9310211010617;Extracción transuretral del cálculo de la uretra;4%
9310211010618;Escisión local de lesión o tejido de uretra;4%
9310211010619;Escisión endoscópica de lesión o tejido de uretra;4%
9310211010620;Uretrectomía parcial;4%
9310211010621;Uretrectomía completa;4%
9310211010622;Reemplazo endoscópico transuretral de dispositivo interno de uretra;4%
9310211010623;Anastomosis de uretra;4%
9310211010624;Dilatación de la uretra;4%
9310211010625;Dilatación transuretral con balón de la uretra;4%
9310211010626;Plicatura uretral;4%
9310211010627;Reparación de uretra;4%
9310211010628;Reconstrucción de la uretra;4%
9310211010701;Endoscopía de conducto ileal;4%
9310211010702;Radiografía del sistema urinario;4%
9310211010703;Conduitograma ileal;4%
9310211010704;Ultrasonido del sistema urinario;4%
9310211010705;Otras instilaciones genitourinarias;4%
9310211010706;Litotricia extracorpórea por ondas de choque del sistema urinario, no especificado de otra manera;4%
9310211010707;Extracción de cuerpo extraño del sistema urinario, n.c.p.;4%
9310211010708;Reemplazo de dispositivo de sistema urinario, n.c.p.;4%
9310211010709;Intervenciones para la incontinencia de esfuerzo;4%
9310211020101;Biopsia abierta de próstata;4%
9310211020102;Biopsia endoscópica transuretral de próstata;4%
9310211020103;Biopsia cerrada de próstata;4%
9310211020104;Radiografía de la próstata y vesículas seminales;4%
9310211020105;Vesiculograma seminal de contraste;4%
9310211020106;Imagen de resonancia magnética de la próstata;4%
9310211020107;Ultrasonido de próstata;4%
9310211020108;Incisión de próstata;4%
9310211020109;Destrucción de próstata y vesícula seminal;4%
9310211020110;Destrucción transuretral de la próstata;4%
9310211020111;Destrucción endoscópica transuretral de próstata y vesícula seminal;4%
9310211020112;Destrucción percutánea de la próstata;4%
9310211020113;Drenaje de próstata y vesícula seminal;4%
9310211020114;Drenaje transrectal de próstata y vesícula seminal;4%
9310211020115;Drenaje endoscópico transuretral de próstata y vesículas seminales;4%
9310211020116;Aspiración percutánea de próstata;4%
9310211020117;Extracción de cuerpo extraño de próstata;4%
9310211020118;Extracción transuretral de cuerpo extraño de próstata;4%
9310211020119;Escisión local de lesión de próstata;4%
9310211020120;Escisión laparoscópica de lesión de próstata;4%
9310211020121;Prostatectomía;4%
9310211020122;Prostatectomía laparoscópica;4%
9310211020123;Prostatectomía transuretral;4%
9310211020124;Prostatectomía radical;4%
9310211020125;Prostatectomía radical laparoscópica;4%
9310211020126;Hemostasia endoscópica de próstata;4%
9310211020127;Hemostasia de próstata;4%
9310211020201;Biopsia de cordón espermático, epidídimo o conducto deferente;4%
9310211020202;Rayos X del epidídimo y del conducto deferente;4%
9310211020203;Epididimograma de contraste;4%
9310211020204;Vasotomía;4%
9310211020205;Liberación del cordón espermático;4%
9310211020206;Drenaje del cordón espermático o del conducto deferente;4%
9310211020207;Drenaje percutáneo de cordón espermático o conducto deferente;4%
9310211020208;Extracción de cuerpo extraño de conducto deferente;4%
9310211020209;Recogida de esperma mediante incisión;4%
9310211020210;Recogida de esperma;4%
9310211020211;Recogida percutánea de esperma;4%
9310211020212;Escisión de lesión o tejido de cordón espermático y epidídimo;4%
9310211020213;Escisión laparoscópica de una lesión o tejido del cordón espermático y epidídimo;4%
9310211020214;Escisión parcial del cordón espermático;4%
9310211020215;Escisión parcial laparoscópica del cordón espermático;4%
9310211020216;Escisión total de cordón espermático, epidídimo o conducto deferente;4%
9310211020217;Trasplante de cordón espermático o conducto deferente;4%
9310211020218;Ligadura del cordón espermático o del conducto deferente;4%
9310211020219;Ligadura laparoscópica del cordón espermático o del conducto deferente;4%
9310211020220;Vasovasostomía;4%
9310211020221;Reducción de la torsión del cordón espermático;4%
9310211020222;Reducción manual de torsión del cordón espermático;4%
9310211020223;Vasostomía;4%
9310211020224;Reparación de cordón espermático, epidídimo o conducto deferente;4%
9310211020225;Inserción de la válvula en el conducto deferente;4%
9310211020301;Biopsia de escroto;4%
9310211020302;Exploración del escroto;4%
9310211020303;Ultrasonido de escroto;4%
9310211020304;Incisión de escroto;4%
9310211020305;Destrucción de lesión o tejido del escroto;4%
9310211020306;Drenaje de escroto;4%
9310211020307;Drenaje percutáneo del escroto;4%
9310211020308;Extracción de cuerpo extraño del escroto con incisión;4%
9310211020309;Extracción de cuerpo extraño o dispositivo del escroto sin incisión;4%
9310211020310;Desbridamiento del tejido escrotal;4%
9310211020311;Escisión de lesión o tejido del escroto;4%
9310211020312;Escisión parcial del escroto;4%
9310211020313;Escisión total del escroto;4%
9310211020314;Reparar disminuyendo el tamaño del escroto;4%
9310211020315;Reparación de escroto;4%
9310211020316;Reconstrucción del escroto con colgajos pediculares o rotatorios;4%
9310211020401;Biopsia abierta de testículo;4%
9310211020402;Biopsia cerrada de testículo;4%
9310211020403;Ultrasonido de testículo;4%
9310211020404;Inyección en testículo;4%
9310211020405;Incisión de testículo y túnica vaginal;4%
9310211020406;Destrucción de lesión testicular;4%
9310211020407;Aspiración de testículo;4%
9310211020408;Aspiración percutánea de los testículos o túnica vaginal;4%
9310211020409;Extracción de cuerpo extraño del testículo;4%
9310211020410;Orquiectomía parcial;4%
9310211020411;Orquiectomía;4%
9310211020412;Orquiectomía laparoscópica;4%
9310211020413;Orquiectomía bilateral radical;4%
9310211020414;Orquiopexia;4%
9310211020415;Ortopiopexia laparoscópica;4%
9310211020416;Reparación de testículo;4%
9310211020417;Injerto testicular;4%
9310211020501;Biopsia de pene;4%
9310211020502;Biopsia percutánea de pene;4%
9310211020503;Ultrasonido de pene;4%
9310211020504;Inserción de prótesis de pene;4%
9310211020505;Colocación de prótesis externas de pene;4%
9310211020506;Incisión del pene;4%
9310211020507;Liberación del pene;4%
9310211020508;Destrucción de lesión de pene;4%
9310211020509;Destrucción percutánea de la lesión del pene;4%
9310211020510;Irrigación de pene;4%
9310211020511;Otros drenajes del pene;4%
9310211020512;Drenaje percutáneo del pene;4%
9310211020513;Extracción de cuerpo extraño del pene;4%
9310211020514;Extracción de cuerpo extraño del pene sin incisión;4%
9310211020515;Desbridamiento del pene;4%
9310211020516;Escisión local de lesión de pene;4%
9310211020517;Escisión total de prepucio;4%
9310211020518;Amputación del pene;4%
9310211020519;Sustitución de prótesis de pene;4%
9310211020520;Reasignación de pene (amputado);4%
9310211020521;Derivación del cuerpo cavernoso;4%
9310211020522;Reducción de pene;4%
9310211020523;Construcción de pene;4%
9310211020524;Reparación de pene;4%
9310211020525;Reconstrucción del pene;4%
9310211020526;Estiramiento de prepucio;4%
9310211020601;Evaluación del sistema genital masculino, n.c.p.;4%
9310211020602;Radiografía de los órganos genitales masculinos;4%
9310211020603;Ultrasonido del sistema genital masculino, n.c.p.;4%
9310211020604;Intervenciones para la transformación del sexo, n.c.p.;4%
9310211030101;Biopsia abierta de ovario;4%
9310211030102;Biopsia laparoscópica de ovario;4%
9310211030103;Aspiración percutánea de ovario;4%
9310211030104;Ecografía del ovario;4%
9310211030105;Incisión de ovario;4%
9310211030106;Incisión laparoscópica de ovario;4%
9310211030107;Liberación de ovario;4%
9310211030108;Liberación laparoscópica de ovario;4%
9310211030109;Destrucción del ovario;4%
9310211030110;Destrucción laparoscópica de ovario;4%
9310211030111;Drenaje abierto de ovario;4%
9310211030112;Drenaje laparoscópico del ovario;4%
9310211030113;Drenaje percutáneo del ovario;4%
9310211030114;Escisión de lesión de ovario;4%
9310211030115;Escisión parcial de ovario;4%
9310211030116;Escisión parcial laparoscópica del ovario;4%
9310211030117;Ooforectomía;4%
9310211030118;Ooforectomía laparoscópica;4%
9310211030119;Ooforectomía vaginal;4%
9310211030120;Ooforectomía vaginal asistida por laparoscopía;4%
9310211030121;Trasplante de ovario;4%
9310211030122;Ooforopexia;4%
9310211030123;Ooforopexia laparoscópica;4%
9310211030124;Reimplante de ovario;4%
9310211030125;Reimplantación laparoscópica de ovario;4%
9310211030126;Reparación de ovario;4%
9310211030127;Reparación laparoscópica de ovario;4%
9310211030128;Ooforoplastia;4%
9310211030129;Ooforoplastia laparoscópica;4%
9310211030201;Insuflación de trompa de Falopio;4%
9310211030202;Biopsia de trompa de Falopio;4%
9310211030203;Biopsia laparoscópica de trompa de Falopio;4%
9310211030204;Rayos X de trompas de Falopio;4%
9310211030205;Implantación o reemplazo de prótesis de trompa de Falopio;4%
9310211030206;Salpingotomía;4%
9310211030207;Salpingotomía laparoscópica;4%
9310211030208;Liberación de la trompa de Falopio;4%
9310211030209;Liberación laparoscópica de trompas de Falopio;4%
9310211030210;Destrucción de lesión de trompa de Falopio;4%
9310211030211;Destrucción laparoscópica de lesión de trompa de Falopio;4%
9310211030212;Destrucción histeroscópica de lesión de trompa de Falopio;4%
9310211030213;Drenaje de trompa de Falopio;4%
9310211030214;Drenaje laparoscópico de trompas de Falopio;4%
9310211030215;Extracción de cuerpo extraño de trompa de Falopio;4%
9310211030216;Extracción laparoscópica de cuerpo extraño de trompa de Falopio;4%
9310211030217;Escisión local de lesión de trompa de Falopio;4%
9310211030218;Escisión laparoscópica de lesión de trompa de Falopio;4%
9310211030219;Salpingectomía parcial;4%
9310211030220;Salpingectomía parcial laparoscópica;4%
9310211030221;Salpingectomía total;4%
9310211030222;Salpingectomía total laparoscópica;4%
9310211030223;Oclusión de trompas de Falopio;4%
9310211030224;Oclusión laparoscópica de trompas de Falopio;4%
9310211030225;Oclusión histeroscópica de trompas de Falopio;4%
9310211030226;Salpingopexia;4%
9310211030227;Salpingopexia laparoscópica;4%
9310211030228;Dilatación de la trompa de Falopio;4%
9310211030229;Dilatación laparoscópica de las trompas de Falopio;4%
9310211030230;Procedimientos de transferencia reproductiva;4%
9310211030231;Reparación de trompas de Falopio;4%
9310211030232;Reparación laparoscópica de trompas de Falopio;4%
9310211030233;Salpingoplastia;4%
9310211030234;Salpingoplastia laparoscópica;4%
9310211030301;Biopsia de útero;4%
9310211030302;Biopsia laparoscópica del útero;4%
9310211030303;Biopsia transvaginal del útero;4%
9310211030304;Biopsia histeroscópica del útero;4%
9310211030305;Examen digital del útero;4%
9310211030306;Histeroscopía;4%
9310211030307;Monitoreo de entrega;4%
9310211030308;Radiografía del útero;4%
9310211030309;Histerosalpingograma de contraste de gases;4%
9310211030310;Ultrasonido del útero;4%
9310211030311;Inseminación artificial;4%
9310211030312;Taponamiento del útero;4%
9310211030313;Inserción de dispositivo terapéutico en el útero;4%
9310211030314;Histerotomía;4%
9310211030315;Liberación de útero;4%
9310211030316;Liberación transvaginal del útero;4%
9310211030317;Liberación histeroscópica del útero;4%
9310211030318;Destrucción del útero y estructuras de soporte;4%
9310211030319;Destrucción laparoscópica de lesión o tejido del útero;4%
9310211030320;Denervación uterina paracervical;4%
9310211030321;Ablación endometrial;4%
9310211030322;Drenaje del útero y estructuras circundantes;4%
9310211030323;Drenaje laparoscópico del útero y las estructuras circundantes;4%
9310211030324;Succión de legrado del útero;4%
9310211030325;Drenaje histeroscópico del útero y estructuras circundantes;4%
9310211030326;Drenaje percutáneo del útero y estructuras circundantes;4%
9310211030327;Extracción de cuerpo extraño del útero;4%
9310211030328;Extracción laparoscópica de cuerpo extraño del útero;4%
9310211030329;Extracción transvaginal de cuerpo extraño del útero sin incisión;4%
9310211030330;Extracción histeroscópica de cuerpo extraño del útero;4%
9310211030331;Terminación del embarazo por histerotomía;4%
9310211030332;Dilatación y legrado;4%
9310211030333;Entrega por cesárea;4%
9310211030334;Parto vaginal;4%
9310211030335;Escisión local de lesión del útero;4%
9310211030336;Escisión laparoscópica de lesión del útero;4%
9310211030337;Escisión histeroscópica de lesión del útero;4%
9310211030338;Histerectomía supracervical;4%
9310211030339;Histerectomía supracervical laparoscópica;4%
9310211030340;Histerectomía vaginal parcial;4%
9310211030341;Escisión parcial histeroscópica del útero;4%
9310211030342;Histerectomía supracervical asistida por laparoscopía;4%
9310211030343;Histerectomía abdominal total, n.c.p.;4%
9310211030344;Histerectomía abdominal total laparoscópica;4%
9310211030345;Histerectomía vaginal total;4%
9310211030346;Histerectomía vaginal asistida por laparoscopía;4%
9310211030347;Histerectomía abdominal radical;4%
9310211030348;Histerectomía abdominal radical laparoscópica;4%
9310211030349;Histerectomía vaginal radical;4%
9310211030350;Histerectomía vaginal radical asistida por laparoscopía;4%
9310211030351;Reemplazo de dispositivo interno del útero;4%
9310211030352;Suspensión uterina;4%
9310211030353;Suspensión uterina laparoscópica;4%
9310211030354;Suspensión del ligamento uterosacro transvaginal;4%
9310211030355;Corrección quirúrgica del útero invertido;4%
9310211030356;Reemplazo manual del útero invertido;4%
9310211030357;Reparación laparoscópica del útero;4%
9310211030358;Reparación del útero;4%
9310211030359;Reparación histeroscópica del útero;4%
9310211030360;Reconstrucción del útero y estructuras circundantes;4%
9310211030361;Reconstrucción laparoscópica del útero y las estructuras circundantes;4%
9310211030362;Reconstrucción histeroscópica del útero y estructura circundante;4%
9310211030363;Inducción médica del parto, por orificio;4%
9310211030364;Inducción médica percutánea del parto;4%
9310211030401;Biopsia cervical;4%
9310211030402;Colposcopía;4%
9310211030403;Frotis de papanicolaou cervical;4%
9310211030404;Ultrasonido de cuello uterino;4%
9310211030405;Incisión del cuello uterino;4%
9310211030406;Destrucción de lesión o tejido del cuello uterino;4%
9310211030407;Drenaje del cuello uterino;4%
9310211030408;Aguja transvaginal del cuello uterino;4%
9310211030409;Extracción de cuerpo extraño del cuello uterino;4%
9310211030410;Escisión local de lesión o tejido cervical;4%
9310211030411;Escisión parcial del cuello uterino;4%
9310211030412;Escisión parcial transvaginal del cuello uterino;4%
9310211030413;Amputación del cuello uterino;4%
9310211030414;Amputación laparoscópica del cuello uterino;4%
9310211030415;Amputación transvaginal del cuello uterino;4%
9310211030416;Embalaje del canal cervical para el control del sangrado;4%
9310211030417;Dilatación del canal cervical;4%
9310211030418;Dilatación del canal cervical con inserción de dispositivo;4%
9310211030419;Cerclaje transabdominal del cuello uterino;4%
9310211030420;Otras reparaciones del os cervical interno;4%
9310211030421;Reparación de fístula de cérvix;4%
9310211030422;Otra reparación del cuello uterino;4%
9310211030423;Reconstrucción del cuello uterino;4%
9310211030424;Reconstrucción transvaginal del cuello uterino;4%
9310211030501;Biopsia vaginal;4%
9310211030502;Vaginoscopía;4%
9310211030503;Vaginograma;4%
9310211030504;Taponamiento de la vagina;4%
9310211030505;Implantación de dispositivo interno de vagina;4%
9310211030506;Vaginotomía;4%
9310211030507;División del tabique vaginal;4%
9310211030508;Liberación de la vagina;4%
9310211030509;Destrucción endoscópica de lesión de vagina;4%
9310211030510;Destrucción de lesión de vagina;4%
9310211030511;Drenaje de la vagina;4%
9310211030512;Drenaje transvaginal de la vagina;4%
9310211030513;Culdocentesis;4%
9310211030514;Extracción de cuerpo extraño de la vagina por vía abdominal;4%
9310211030515;Extracción de cuerpo extraño de la vagina;4%
9310211030516;Escisión local de lesión de vagina;4%
9310211030517;Vaginectomía parcial;4%
9310211030518;Himenectomía;4%
9310211030519;Vaginectomía total, abordaje abdominal;4%
9310211030520;Vaginectomía total, abordaje transorifico;4%
9310211030521;Vaginectomía radical;4%
9310211030522;Reemplazo y remodelación de dispositivo vaginal;4%
9310211030523;Obliteración de bóveda vaginal;4%
9310211030524;Suspensión vaginal y fijación;4%
9310211030525;Suspensión y fijación vaginal laparoscópica;4%
9310211030526;Suspensión y fijación vaginal, abordaje vaginal;4%
9310211030527;Ampliación del introito de la vagina;4%
9310211030528;Construcción vaginal;4%
9310211030529;Reparación de la vagina;4%
9310211030530;Reparación de la vagina por vía vaginal;4%
9310211030531;Reconstrucción vaginal, abordaje transabdominal;4%
9310211030532;Reconstrucción vaginal laparoscópica;4%
9310211030533;Otra reconstrucción vaginal;4%
9310211030601;Biopsia de vulva;4%
9310211030602;Biopsia con aguja de la vulva;4%
9310211030603;Otra incisión de la vulva;4%
9310211030604;Liberación de la vulva;4%
9310211030605;Destrucción de la vulva;4%
9310211030606;Drenaje de vulva;4%
9310211030607;Drenaje percutáneo de la vulva;4%
9310211030608;Extracción de cuerpo extraño de vulva con incisión;4%
9310211030609;Extracción de cuerpo extraño de vulva sin incisión;4%
9310211030610;Escisión local de lesión o tejido de vulva;4%
9310211030611;Vulvectomía parcial;4%
9310211030612;Vulvectomía total;4%
9310211030613;Vulvectomía radical;4%
9310211030614;Amputación del clítoris;4%
9310211030615;Construcción de genitales externos femeninos;4%
